City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Oxbow,CA,56.64,scattered clouds,49.2333,-102.1676,Bow Manor Motor Hotel
382,Beloha,MG,56.3,clear sky,-25.1667,45.05,
383,Segou,ML,88.41,overcast clouds,13.4317,-6.2157,Comme chez soi
385,Port Lincoln,AU,60.39,clear sky,-34.7333,135.8667,Port Lincoln Hotel
386,Zilair,RU,53.76,light rain,52.2332,57.4392,Gostinitsa Rina
387,Shimoda,JP,82.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
388,Nazarovo,RU,63.1,overcast clouds,56.0064,90.3914,Zarya
389,Bowen,AU,69.13,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
390,Kita,ML,78.87,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
391,Tucurui,BR,73.4,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
392,Winnemucca,US,84.7,broken clouds,40.973,-117.7357,Winners Inn Casino
393,Komsomolskiy,UZ,92.12,clear sky,40.4272,71.7189,Ikathouse
394,Rosetta,EG,75.65,clear sky,31.4044,30.4164,Green Valley
396,Nelson Bay,AU,60.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
397,Wajima,JP,90.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
398,Lakatoro,VU,81.79,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
399,Ngunguru,NZ,59.58,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
400,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
401,Arkhipo-Osipovka,RU,68.41,overcast clouds,44.37,38.52,Zolotoy Kashtan Guest House
402,Santa Maria,BR,56.5,broken clouds,-29.6842,-53.8069,Hotel Morotin
403,Zhigansk,RU,53.91,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
404,Mandera,KE,73.8,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
405,Namibe,AO,67.12,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
406,Tommot,RU,77.63,light rain,58.9564,126.2925,Gostinitsa Tommot
407,Dubai,AE,91.65,broken clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
408,Zelenokumsk,RU,70.45,overcast clouds,44.4069,43.8806,Zelenokumsk hotel
409,Robertsport,LR,77.94,moderate rain,6.7533,-11.3686,Kwepunha Retreat
411,Bonavista,CA,56.23,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
412,San Matias,BO,67.1,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
413,Stephenville,US,84.2,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
414,Krasnoye-Na-Volge,RU,55.44,few clouds,57.5125,41.2419,Almaz Hotel
416,Torbay,CA,63.37,mist,47.6666,-52.7314,Gallows Cove
417,Bjerringbro,DK,52.75,broken clouds,56.378,9.6607,Bjerringbro Kanoudlejning
418,Charters Towers,AU,70.29,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
420,Pulawy,PL,70.18,broken clouds,51.4166,21.9694,Hotel Trzy Korony
422,Concepcion Del Uruguay,AR,50.25,light rain,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
423,Moyale,KE,60.94,scattered clouds,3.5167,39.0584,La Tahzan Guest House
424,Yelizovo,RU,68.14,few clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
425,Caravelas,BR,68.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
426,Marion,US,66.58,clear sky,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
427,San Cristobal,VE,66.38,scattered clouds,7.7669,-72.225,Pirineos
428,Pleshanovo,RU,58.1,overcast clouds,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
429,Bartlesville,US,74.01,overcast clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
431,Kampot,KH,87.85,broken clouds,10.6167,104.1833,Two Moons Hotel
432,Kouango,CF,68.85,moderate rain,4.9934,19.9619,
433,Yumen,CN,91.24,few clouds,40.2833,97.2,
434,Pitkyaranta,RU,55.98,scattered clouds,61.5734,31.4792,Pitkyaranta hotel
435,Zeya,RU,79.9,scattered clouds,53.75,127.2667,Kapital Inn
436,Korampallam,IN,84.49,scattered clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
437,Dali,CN,69.08,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
438,Susner,IN,86.94,overcast clouds,23.95,76.0833,BaBji Electronics
439,Bayonne,FR,59.63,overcast clouds,43.3333,-1.4167,Hôtel du Fronton & Restaurant Bonnet
440,Westport,US,70.77,overcast clouds,41.1415,-73.3579,The Westport Inn
441,Semey,KZ,66.42,clear sky,50.4111,80.2275,Grand Hotel Semey
443,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
